Extensive Reading Foundation Graded Reader List			Author(s)*っｙ																								
PERX2	Pearson	American Life	Shipton, Vicky	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	3,082 		A	40	Y	3		Original	teen, adult	9781405881555	9781405878258				2008	2008	Y	
PERX2	Pearson	Apollo 13	Anastasio, Dina	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,119 		A	48	Y	3		Contemporary	teen, adult	9781405881562	9781405878265				2008	2008	Y	
PERX2	Pearson	Christmas Carol, A	Dickens, Charles	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,882 		A	48	Y	3		Classic	teen, adult	9781405842822	9781405878326				2008	2008	Y	
PERX2	Pearson	Extreme Sports	Dean, Michael	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	4,128 		A	36	Y	3		Original	teen, adult	9781405881593	9781405878357				2008	2008	Y	
PERX2	Pearson	Gulliver's Travels	Swift, Jonathan	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,681 		A	48	Y	3		Classic	teen, adult	9781405842846	9781405878418				2008	2008	Y	
PERX2	Pearson	Jurassic Park III	Ciencin, Scott	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	7,138 		A	56	Y	3		Contemporary	teen, adult	9781405881630	9781405878487				2008	2008	Y	
PERX2	Pearson	King Arthur and the Knights of the Round Table		Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	10,369 		A	56	Y	3		Classic	teen, adult	9781405855327	9781405878500				2008	2008	Y	
PERX2	Pearson	Lost in New York	Escott, John	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	4,875 		A	32		3		Original	teen, adult	9781405876971	9781408285107				2008	2008	Y	
PERX2	Pearson	Marley and Me	John Grogan	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	10,666 		A	44	Y	3		Contemporary	teen, adult	9781408263761	9781408263914				2012	2012	Y	LLLA FINALIST 2013
PERX2	Pearson	Mysterious Island, The	Verne, Jules	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	6,370 		A	48	Y	3		Classic	teen, adult	9781405842891	9781405878623				2008	2008	Y	
PERX2	Pearson	Persuasion	Austen, Jane	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	6,575 		A	56	Y	3		Classic	teen, adult	9781405869492	9781405878647				2008	2008	Y	
PERX2	Pearson	Pirates of the Caribbean The Curse of the Black Pearl		Pearson English Readers	2	600	Elementary (M)	A2	2.4-2.6	7438		A	48	Y	3		Contemporary	teen, adult	9781405881708	9781405878654				2008	2008	Y	
PERX2	Pearson	Prince and the Pauper, The	Twain, Mark	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,137 		A	48	Y	3		Classic	teen, adult	9781405842907	9781405878661				2008	2008	Y	
PERX2	Pearson	Project Omega	O'Reilly, Elaine	Pearson English Readers	2	600 	Elementary (M)	A2	2.2-2.4	4,325 		A	32	Y	3		Original	teen, adult	9781405881715	9781405878678				2008	2008	Y	
PERX2	Pearson	Robin Hood		Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,760 		A	48	Y	3		Classic	teen, adult	9781405842914	9781405878692				2008	2008	Y	
PERX2	Pearson	Stranger than Fiction: Urban Myths	Healey, Phil	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	7,125 		A	48	Y	3		Contemporary	teen, adult	9781405869775	9781405878746				2008	2008	Y	
PERX2	Pearson	Tales from the Arabian Nights	Andersen, Hans Christian	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,041 		A	56	Y	3		Classic	teen, adult	9781405855396	9781405878753				2008	2008	Y	
PERX2	Pearson	Three Musketeers, The	Dumas, Alexandre	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,557 		A	48	Y	3		Classic	teen, adult	9781405855310	9781405878777				2008	2008	Y	
PERX2	Pearson	Three Short Stories of Sherlock Holmes	Conan Doyle, Arthur C	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	9,179 		A	56	Y	3		Classic	teen, adult	9781405855433	9781405878227				2008	2008	Y	
PERX2	Pearson	Walkabout	Marshall, James V.	Pearson English Readers	2	600 	Elementary (M)	A2	2.4-2.6	8,436 		A	56	Y	3		Contemporary	teen, adult	9781405881722	9781405878807				2008	2008	Y	CD pack OP
PERX3	Pearson	Billy Elliot	Burgess, Melvyn	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	12,931 		A	64	Y	5		Contemporary	teen, adult	9781405881760	9781405878883				2008	2008	Y	LLLA WINNER 2008
PERX3	Pearson	Black Cat and Other Stories, The	Poe, Edgar A	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.2-3.4	7,423 		A	56	Y	5		Classic	teen, adult	9781405876629	9781405878890				2008	2008	Y	
PERX3	Pearson	Cellist of Sarajevo, The	Galloway, Steven	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	14,017 		A	56	N	5		Contemporary	teen, adult	9781408291375	9781447938071				2013	2013	Y	LLLA FINALIST 2014
PERX3	Pearson	Climb, The	Escott, John	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.2-3.4	8,624 		A	48	Y	5		Original	teen, adult	9781405881791	9781405878937				2008	2008	Y	
PERX3	Pearson	David Copperfield	Dickens, Charles	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.6-3.8	12,213 		A	112	Y	5		Classic	teen, adult	9781405862400	9781405878968				2008	2008	Y	
PERX3	Pearson	Dr Jekyll and Mr Hyde	Stevenson, Robert Louis	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	13,232 		A	64	Y	5		Classic	teen, adult	9781405855457	9781405878975				2008	2008	Y	
PERX3	Pearson	Forrest Gump	Groom, Winston	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	9,119 		A	56	Y	5		Contemporary	teen, adult	9781405876759	9781405879033				2008	2008	Y	
PERX3	Pearson	Ghost in the Guitar	Shipton, Paul	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	9,935 		A	48	Y	5		Original	teen, adult	9781405881845	9781405879057				2008	2008	Y	
PERX3	Pearson	Jim Smiley and His Jumping Frog and Other Stories	Twain, Mark	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	11,365 		A	72	Y	5		Classic	teen, adult	9781405862394	9781405879149				2008	2008	Y	
PERX3	Pearson	Martin Luther King	Degnan-Veness, Coleen	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.2-3.4	9272		A	56	Y	5		Original	teen, adult	9781405881944	9781405879187				2008	2008	Y	
PERX3	Pearson	Matilda	Dahl, Roald	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.2-3.4	8,070 		A	56	Y	5		Contemporary	teen, adult	9781405876766	9781405879194				2008	2008	Y	
PERX3	Pearson	Midsummer Night's Dream, A	Shakespeare, William	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	12,290 		A	64	Y	5		Classic	teen, adult	9781405862387	9781405879200				2008	2008	Y	
PERX3	Pearson	New York	Shipton, Vicky	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.2-3.4	8,469 		A	56	Y	5		Original	teen, adult	9781405881975	9781405879231				2008	2008	Y	
PERX3	Pearson	Notting Hill	Curtis, Richard	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	13,451 		A	64	Y	5		Contemporary	teen, adult	9781405881999	9781405879255				2008	2008	Y	
PERX3	Pearson	Othello	Shakespeare, William	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	11,678 		A	64	Y	5		Classic	teen, adult	9781405867719	9781405885478				2008	2008	Y	
PERX3	Pearson	Return of Sherlock Holmes, The	Conan Doyle, Arthur C	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	12,921 		A	72	Y	5		Classic	teen, adult	9781405855471	9781405879309				2008	2008	Y	
PERX3	Pearson	Ring, The	Smith, Bernard	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	14,754 		A	64	Y	5		Original	teen, adult	9781405882026	9781405879316				2008	2008	Y	
PERX3	Pearson	Romeo and Juliet	Shakespeare, William	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	13,684 		A	72	Y	5		Classic	teen, adult	9781405855464	9781405879330				2008	2008	Y	
PERX3	Pearson	Scandal in Bohemia, A	Conan Doyle, Arthur C	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.6-3.8	20,654 		A	104	Y	5		Classic	teen, adult	9781405862332	9781405879347				2008	2008	Y	
PERX3	Pearson	Sense and Sensibility	Austen, Jane	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	7,924 		A	56	Y	5		Classic	teen, adult	9781405882033	9781405879354				2008	2008	Y	
PERX3	Pearson	Sherlock Holmes and the Mystery of Boscombe Pool	Conan Doyle, Arthur C	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	8,714 		A	56	Y	5		Classic	teen, adult	9781405876889	9781405879361				2008	2008	Y	
PERX3	Pearson	Stories from Shakespeare	Shakespeare, William	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	13,148 		A	72	Y	5		Classic	teen, adult	9781405855495	9781405879385				2008	2008	Y	
PERX3	Pearson	Swiss Family Robinson, The	Wyss, Johann	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.4-3.6	13,480 		A	72	Y	5		Classic	teen, adult	9781405855488	9781405879392				2008	2008	Y	
PERX3	Pearson	Turn of the Screw, The	James, Henry	Pearson English Readers	3	1,200 	Intermediate (M)	A2	3.2-3.4	6,851 		A	56	Y	5		Classic	teen, adult	9781405882057	9781405879415				2008	2008	Y	
PERX4	Pearson	1984	Orwell, George	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.5-5.0	19465		A	88	Y	7		Classic	teen, adult	9781405862417	9781405879439				2008	2008	Y	
PERX4	Pearson	Canterville Ghost and Other Stories, The	Wilde, Oscar	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	21,091 		A	80	Y	7		Classic	teen, adult	9781405865128	9781405879460				2008	2008	Y	
PERX4	Pearson	Client, The	Grisham, John	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	12166		A	72	Y	7		Contemporary	teen, adult	9781405882095	9781405879484				2008	2008	Y	
PERX4	Pearson	Detective Work	Escott, John	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	10,933 		A	72	Y	7		Original	teen, adult	9781405882118	9781405879507				2008	2008	Y	
PERX4	Pearson	Evening Class	Binchy, Maeve	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	18,626 		A	88	Y	7		Contemporary	teen, adult	9781405882156	9781405879545				2008	2008	Y	
PERX4	Pearson	House of Stairs, The	Vine, Barbara	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	14,374 		A	72	Y	7		Contemporary	teen, adult	9781405882224	9781405879620				2008	2008	Y	
PERX4	Pearson	Inventions that Changed the World	Maule, David	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.5-5.0	15,423 		A	72	Y	7		Original	teen, adult	9781405882231	9781405879637				2008	2008	Y	
PERX4	Pearson	Love Actually	Curtis, Richard	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	13,673 		A	72		7		Contemporary	teen, adult	9781405882262	9781408294376				2008	2008	Y	
PERX4	Pearson	Merchant of Venice, The	Shakespeare, William	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.5-5.0	16,776 		A	88	N	7		Classic	teen, adult	9781405882279	9781405879705				2008	2008	Y	
PERX4	Pearson	Mosquito Coast, The	Theroux, Paul	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	12,853 		A	72	Y	7		Contemporary	teen, adult	9781405876643	9781405879712				2008	2008	Y	
PERX4	Pearson	Murder on the Orient Express	Agatha Christie	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.5-5.0	18,985 		A		S	7		Classic	teen, adult	9781405892148	9781408294390						Y	
PERX4	Pearson	On the Beach	Shute, Nevil	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.5-5.5	32,655 		A	136	Y	7		Contemporary	teen, adult	9781405882286	9781405879729				2008	2008	Y	
PERX4	Pearson	Picture of Dorian Gray	Wilde, Oscar	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	16,326 		A	88	Y	7		Classic	teen, adult	9781405882293	9781405879736				2008	2008	Y	
PERX4	Pearson	Strangers on a Train	Highsmith, Patricia	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	11,810 		A	72	Y	7		Contemporary	teen, adult	9781405882323	9781405879767				2008	2008	Y	
PERX4	Pearson	Three Adventures of Sherlock Holmes	Conan Doyle, Arthur C	Pearson English Readers	4	1,700 	Upper Int. (E)	B1	4.0-4.5	15,431 		A	80	Y	7		Classic	teen, adult	9781405862424	9781405879781				2008	2008	Y	
PERX5	Pearson	Cold Mountain	Frazier, Charles	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	29,693 		A	104	Y	8		Contemporary	teen, adult	9781405882415	9781405879866				2008	2008	Y	LLLA WINNER 2005
PERX5	Pearson	Death on the Nile	Christie, Agatha	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	26,246 		A	104	N	8		Contemporary	teen, adult	9781405867795	9781405885515				2008	2008	Y	
PERX5	Pearson	Five People You Meet, The	Mitch Albom	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	26,662 		A	96	N	8		Contemporary	teen, adult	9781408263877	9781408263945				2012	2012	Y	
PERX5	Pearson	Great Gatsby, The	F. Scott Fitzgerald	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	22,000 		E		Y	8		-	teen, adult	9781405879910	9781408276358				2008	2008	Y	
PERX5	Pearson	Hound of the Baskervilles, The	Conan Doyle, Arthur C	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	21,107 		A	88	Y	8		Classic	teen, adult	9781405862486	9781405879934				2008	2008	Y	
PERX5	Pearson	Jane Eyre	Bronte, Charlotte	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.5-6.0	48,180 		A	176	Y	8		Classic	teen, adult	9781405865166	9781405879965				2008	2008	Y	
PERX5	Pearson	Mayor of Casterbridge, The	Hardy, Thomas	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	26,110 		A	104	S	8		Classic	teen, adult	9781405862493	9781405879972				2008	2008	Y	
PERX5	Pearson	Murder is Announced, A	Christie, Agatha	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	27,262 		A	96	Y	8		Contemporary	teen, adult	9781408221129	9781408232125				2011	2011	Y	
PERX5	Pearson	Phantom of the Opera, The	Leroux, Gaston	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	26,075 		A	104	Y	8		Classic	teen, adult	9781405865159	9781405880039				2008	2008	Y	
PERX5	Pearson	Pride and Prejudice	Austen, Jane	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	42,445 		A	152	Y	8		Classic	teen, adult	9781405862462	9781405880046				2008	2008	Y	
PERX5	Pearson	Prisoner of Zenda, The	Hope, Anthony	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	25,056 		A	104	Y	8		Classic	teen, adult	9781405865203	9781405880053				2008	2008	Y	
PERX5	Pearson	Round the World in Eighty Days	Verne, Jules	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	35,572 		A	136	Y	8		Classic	teen, adult	9781405865180	9781405880091				2008	2008	Y	
PERX5	Pearson	Sherlock Holmes Short Stories	Conan Doyle, Arthur C	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	35,476 		A	136	N	8		Classic	teen, adult	9781405865234	9781405880107				2008	2008	Y	
PERX5	Pearson	Tale of Two Cities, A	Dickens, Charles	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	40,189 		A	152	N	8		Classic	teen, adult	9781405862561	9781405880152				2008	2008	Y	
PERX5	Pearson	Taste and Other Tales	Dahl, Roald	Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	29,948 		A	120	Y	8		Contemporary	teen, adult	9781405882545	9781405880190				2008	2008	Y	
PERX5	Pearson	World Folk Tales		Pearson English Readers	5	2,300 	Upper Int. (H)	B2	5.0-5.5	26,667 		A	104	Y	8		Classic	teen, adult	9781405862523	9781405880237				2008	2008	Y	
PERX6	Pearson	Anna Karenina	Tolstoy, Leo	Pearson English Readers	6	3,000 	Advanced (E)	C1	6.0-6.5	32,959 		A	120	Y	9		Classic	teen, adult	9781405865296	9781405880251				2008	2008	Y	
PERX6	Pearson	Brave New World	Huxley, Aldous	Pearson English Readers	6	3,000 	Advanced (E)	C1	6.0-6.5	35,240 		A	136	N	9		Contemporary	teen, adult	9781405882583	9781405880275				2008	2008	Y	
PERX6	Pearson	Crime and Punishment	Dostoyevsky, Fyodor	Pearson English Readers	6	3,000 	Advanced (E)	C1	6.0-6.5	32,748 		A	120	N	9		Classic	teen, adult	9781405882620	9781405880312				2008	2008	Y	
PERX6	Pearson	East of Eden	Steinbeck, John	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	30,902 		A	120	Y	9		Classic	teen, adult	9781405865265	9781405880343				2008	2008	Y	
PERX6	Pearson	Great Expectations	Dickens, Charles	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	35,437 		A	128	Y	9		Classic	teen, adult	9781405865289	9781405880350				2008	2008	Y	
PERX6	Pearson	Les Miserables	Hugo, Victor	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	30,142 		A	120	Y	9		Classic	teen, adult	9781405865272	9781405880374				2008	2008	Y	
PERX6	Pearson	Man from the South and Other Stories, The	Dahl, Roald	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	31,438 		A	120	Y	9		Contemporary	teen, adult	9781405882668	9781405880398				2008	2008	Y	
PERX6	Pearson	Memoirs of a Geisha	Golden, Arthur	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	31,483 		A	120	Y	9		Contemporary	teen, adult	9781405882675	No Audio CD				2008	2008	Y	
PERX6	Pearson	Oliver Twist	Dickens, Charles	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	35,613 		A	136	Y	9		Classic	teen, adult	9781405865258	9781405880435				2008	2008	Y	
PERX6	Pearson	Snow Falling on Cedars	Guterson, David	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	35,501 		A	128	Y	9		Contemporary	teen, adult	9781405882736	No Audio CD				2008	2008	Y	
PERX6	Pearson	Woman in White, The	Collins, Wilkie	Pearson English Readers	6	3000	Advanced (E)	C1	6.0-6.5	25,937 		A	120	Y	9		Classic	teen, adult	9781405882767	9781405880527				2008	2008	Y	